rxn num,lv,uv,ldGr,udGr
0,-1000.0,1000.0,-inf,inf
1,-1000.0,1000.0,-150.335956,120.884608
2,-570.907263,0.0,-107.960025,98.518651
3,-1000.0,1000.0,-inf,inf
4,7.3914,62.427732,-inf,inf
5,2.4696,20.858231,-inf,inf
6,0.761572,428.739591,-82.18532,-0.05
7,0.0,998.108131,-211.453157,-12.647741
8,0.0,1000.0,-inf,inf
9,0.01,187.280844,-344.333506,-0.05
10,0.01,187.280844,-190.002908,-0.05
11,2.213498,450.783491,-89.902587,-0.05
12,0.0,1000.0,-146.735366,36.09018
13,3.28751,447.746447,-89.147372,-0.05
14,0.0019,312.555552,-103.786164,-0.05
15,-996.902716,1000.0,-169.36035,7.816842
16,0.0,0.0,-274.75507,84.267227
17,0.0,0.0,-409.217729,-171.086023
18,-451.974668,-3.404675,0.05,49.932433
19,-996.595325,451.974668,-166.665072,54.464336
20,0.0,1000.0,-177.526229,-8.518058
21,-448.569993,1000.0,-90.372847,88.057667
22,3.28751,447.746447,-39.287037,-0.05
23,-1000.0,1000.0,-182.460305,8.835204
24,3.404675,451.974668,-112.916271,-0.05
25,0.0,0.0,-79.711415,85.446148
26,-256.012454,1000.0,-130.823097,10.970839
27,0.0,1000.0,-134.273697,-0.858634
28,0.0,0.0,-131.523938,5.552358
29,0.0,0.0,-134.273742,-0.858604
30,0.0,1000.0,-134.142516,-0.858594
31,0.0,0.0,-156.465266,72.631285
32,0.02,374.561688,-225.931151,-55.60192
33,3.097284,898.0308,-49.540763,-0.05
34,3.097284,898.0308,-163.949616,-20.792587
35,-90.001891,90.001891,-97.155087,131.420492
36,-996.902716,1000.0,-169.360364,7.816841
37,0.0,0.0,-233.019517,-88.123229
38,0.0,0.0,-55.942181,103.265707
39,0.0607,369.471282,-207.12294,-8.020773
40,-1000.0,1000.0,-112.644645,102.16706
41,0.0607,369.471282,-395.238083,-200.390488
42,0.0,0.0,-171.199631,191.367703
43,-451.974668,-3.404675,0.05,62.273267
44,3.404675,451.974668,-107.738289,-0.05
45,0.0,570.907263,-110.274061,73.495872
46,0.0019,312.555552,-104.664708,-0.05
47,0.0,448.569993,-110.150024,73.436472
48,3.097284,898.0308,-120.799783,-0.05
49,0.000634,441.64223,-112.107277,-0.05
50,0.000634,441.64223,-337.323156,-115.17199
51,-1000.0,1000.0,-88.051376,90.766786
52,0.0,0.0,-112.938287,19.878419
53,0.0,0.0,-208.537068,-9.409551
54,0.0,448.569993,-110.741669,62.149917
55,-1000.0,0.0,-160.943323,0.46677
56,0.0,1000.0,-81.613712,112.497781
57,0.0,1000.0,-76.586058,96.519763
58,-1000.0,1000.0,-112.93828,19.878438
59,-1000.0,1000.0,-112.938232,19.87839
60,-1000.0,1000.0,-112.938266,19.878413
61,1.024043,363.085539,-227.872429,-0.05
62,-442.477424,999.964,-128.199978,67.281658
63,8e-05,618.298315,-100.164239,-0.05
64,0.0,1000.0,-160.943323,0.46677
65,-1000.0,1000.0,-87.318619,83.287071
66,-1000.0,997.190355,-160.536784,52.148202
67,0.0,0.0,-122.524681,95.978216
68,0.0,1000.0,-106.687155,8.690479
69,0.0,1000.0,-53.149692,47.808906
70,-1000.0,0.0,5.237771,195.983081
71,-1000.0,0.0,5.237752,195.9831
72,-0.0,1000.0,-131.762504,95.64987
73,-1000.0,1000.0,-116.355999,10.45286
74,-1000.0,0.0,-160.943323,0.46677
75,0.0,1000.0,-81.61372,112.49779
76,0.0,0.0,-226.88802,92.723834
77,-1000.0,1000.0,-64.833926,80.019091
78,6.445971,577.353234,-83.472075,-0.05
79,6.445971,577.353234,-93.071442,-0.05
80,0.0,0.0,-91.071265,57.570957
81,-1000.0,1000.0,-116.701783,61.715378
82,-1000.0,1000.0,-116.701809,61.715344
83,-999.795504,1000.0,-116.701824,61.715404
84,-624.908933,772.872794,-60.298789,115.803622
85,3e-05,451.33404,-60.298779,-0.05
86,-1000.0,1000.0,-116.701788,61.715361
87,0.0,373.364031,-116.701826,61.715391
88,-1000.0,1000.0,-116.701906,61.715445
89,0.0,0.0,-177.362358,82.613431
90,-794.909324,1000.0,-166.762246,111.583426
91,-0.0,1000.0,-177.532189,-66.544472
92,-1000.0,1000.0,-131.612442,120.286368
93,-999.99992,1000.0,-101.834959,120.286378
94,0.0,0.0,-131.612499,120.286371
95,-996.262209,1000.0,-72.471735,102.991411
96,-187.270844,0.0,-112.938231,19.878385
97,-1000.0,1000.0,-50.507018,49.294611
98,-996.262209,1000.0,-92.717032,86.500474
99,-0.0,1000.0,-227.17917,-78.963987
100,-1000.0,1000.0,-182.909067,19.854456
101,-1000.0,1000.0,-182.90914,19.854498
102,-1000.0,1000.0,-182.909067,19.854471
103,-1000.0,1000.0,-182.909114,19.854457
104,-1000.0,1000.0,-182.909065,19.854438
105,-1000.0,1000.0,-182.909118,19.854477
