,dGr_prime,SD of dGr_prime
r_0001,,
r_0002,,
r_0003,15.314419565512326,1.6570023045533389
r_0004,,
r_0005,,
r_0006,,
r_0007,-17.05122744967254,4.944775104522705
r_0012,-50.7076570254577,3.9400421820376805
r_0013,-500.87757314704123,4.159243226197009
r_0014,-16.165667171150613,7.530302579324426
r_0015,-44.48888233322472,4.873133492705025
r_0016,-13.919734913493844,5.047436439863196
r_0017,-26.723748682015803,5.224118205865278
r_0018,-1.4725715335398988,1.1497209072113037
r_0019,-13.835632691979638,3.1190931166423126
r_0020,-70.99063789500418,1.3982218503952026
r_0021,-83.43247778982266,29.344363186915185
r_0022,-324.12367108451895,14.267457962036133
r_0023,0.22043981655273903,3.5770351886749268
r_0024,-27.94718792826243,3.0340157544342135
r_0025,-43.328328388030904,3.0340095921587813
r_0026,-0.8623112993307949,1.7815097570419312
r_0027,1.4448886450641067,1.7686853408813477
r_0028,-51.479224850276665,2.0039248038919912
r_0029,-13.398499307753186,4.19062976872596
r_0030,1.5560356623453764,4.1906264749210225
r_0032,-23.544417893243896,1.8800777196884155
r_0033,-37.24776381742048,2.4518016629965884
r_0034,-31.923363331720413,2.7283777863628718
r_0035,-37.20826867207157,6.392293810499916
r_0036,-37.249989380260175,2.451793525985285
r_0037,-37.249760056407226,2.4518006384535416
r_0038,-95.41621156731631,2.1529034491850165
r_0039,-6.078417989219361,3.0199875831604004
r_0040,-68.79441001006899,2.303434371948242
r_0041,-6.732222322757245,3.429565439151588
r_0042,-71.16726795955934,1.3982210159301758
r_0043,-173.92623005792146,5.3981428146362305
r_0044,21.126670232999334,2.6697764226815632
r_0045,-48.57951403943363,6.013348013103471
r_0057,20.401986581168774,1.035131475082137
r_0058,-322.09698448333216,9.904818534851074
r_0059,-8.051682981373446,30.85047721862793
r_0060,-2.115310904506325,3.7734973430633545
r_0061,23.70635164350292,3.8233232165308264
r_0062,-15.105233020481661,3.57959480073409
r_0063,3.063015503607595,5.855542182922363
r_0064,-14.735893144614579,3.4579759425740066
r_0065,-22.28430619066799,4.152385711669922
r_0066,-20.923602061513765,2.215970277786255
r_0067,-177.76233862289396,8.444755157770146
r_0068,0.7578698222299902,1.5526493787765503
r_0069,-10.935364645727192,0.4067431092262268
r_0070,-45.2259097134786,10.809435044694936
r_0072,-20.622029435889875,2.2327917066457603
r_0073,-25.130442132263425,0.33953950081502876
r_0074,-1.983260652266516,0.1502878933074965
r_0075,9.627701442616218,0.5053902864456177
r_0076,-10.759682329323969,0.4067445695400238
r_0077,-10.759231294480697,0.40673425793647766
r_0078,-10.759539578681556,0.40675127506256104
r_0079,4.4717799135724645,6.468010637107622
r_0080,-35.187675293275525,5.029331079378747
r_0081,14.471850901501412,3.354770824632263
r_0082,-25.130437249450928,0.33954096736098877
r_0083,-0.8784393993645949,0.15029849112033844
r_0084,-20.268421670842066,2.9308090209960938
r_0085,-15.011695830518896,7.55197811126709
r_0086,-59.24879647816224,4.377947807312012
r_0087,-3.7872134658089784,1.8433853387832642
r_0088,24.025615929791805,0.33947037394220847
r_0089,24.025615929791805,0.33947037394220847
