rxn num,lv,uv,ldGr,udGr
0,-1000.0,1000.0,-inf,inf
1,-1000.0,1000.0,-inf,inf
2,-555.557169,0.0,-127.209794,81.193918
3,-974.630299,1000.0,-inf,inf
4,8.122629,59.355756,-inf,inf
5,2.713917,19.831828,-inf,inf
6,0.918344,367.691819,-82.525158,-0.0001
7,-1000.0,998.023892,-227.206063,0.924373
8,-0.0,1000.0,-753.219566,-478.259605
9,0.010989,155.643559,-115.323528,-0.0001
10,0.010989,155.643559,-120.016729,-0.0001
11,2.917552,439.426756,-88.259044,-0.0001
12,0.0,1000.0,-187.167275,48.145578
13,3.619871,436.912163,-101.200855,-0.0001
14,0.002088,304.265501,-84.10139,-0.0001
15,-996.323807,1000.0,-181.417971,19.790633
16,0.0,0.0,-316.236774,63.797587
17,0.0,0.0,-402.168145,-169.383631
18,-440.493081,-3.983876,0.0001,51.898603
19,-996.016124,440.493081,-184.295048,32.37087
20,0.0,1000.0,-207.155177,-16.935585
21,-436.509204,1000.0,-102.485939,49.289865
22,3.619871,436.912163,-44.808216,-0.0001
23,-1000.0,1000.0,-212.215739,4.037027
24,3.983876,440.493081,-92.58379,-0.0001
25,0.0,0.0,-75.917771,107.554577
26,-182.516946,1000.0,-141.122323,17.337891
27,0.0,1000.0,-146.209364,-24.315998
28,0.0,0.0,-141.714709,-18.161841
29,0.0,0.0,-157.991388,-12.455007
30,0.0,1000.0,-146.21159,-24.318225
31,0.0,0.0,-146.211369,-24.317996
32,0.021979,311.287117,-245.133098,-79.393578
33,3.676193,813.609282,-56.085404,-0.0001
34,3.676193,813.609282,-177.688763,-16.94947
35,-90.001891,90.001891,-77.929442,146.616249
36,-996.323807,1000.0,-181.594609,19.613996
37,0.0,0.0,-237.907787,-81.419944
38,0.0,0.0,-51.784702,122.562748
39,0.066705,286.547361,-219.570238,-30.668066
40,-1000.0,1000.0,-126.904076,83.274869
41,0.066705,286.547361,-396.746061,-190.39845
42,0.0,0.0,-196.882205,180.778845
43,-440.493081,-3.983876,0.0001,69.798349
44,3.983876,440.493081,-125.316764,-0.0001
45,0.0,555.557169,-92.457433,81.436679
46,0.002088,304.265501,-120.736347,-0.0001
47,0.0,436.509204,-91.723233,81.441156
48,3.676193,813.609282,-131.020491,-0.0001
49,0.000697,380.103023,-123.850651,-0.0001
50,0.000697,380.103023,-346.354749,-142.864135
51,0.0,1000.0,-100.179206,101.694933
52,0.0,0.0,-124.093259,25.526973
53,0.0,0.0,-238.083877,-14.637677
54,0.0,436.509204,-93.933833,71.879486
55,-0.0,0.0,-179.099526,-24.240658
56,0.0,0.0,-63.342721,135.481855
57,0.0,1000.0,-88.167589,107.422992
58,-1000.0,1000.0,-123.917546,25.702635
59,-1000.0,1000.0,-123.917082,25.703078
60,-1000.0,1000.0,-123.917413,25.7028
61,1.125351,286.034617,-259.16204,-0.0001
62,-442.063261,1000.0,-111.184111,69.587711
63,8.8e-05,594.135366,-106.133811,-0.0001
64,0.0,1000.0,-179.099526,-24.240658
65,0.0,1000.0,-97.608337,95.851519
66,-1000.0,0.0,-176.684508,49.442318
68,0.0,1000.0,-113.329656,14.47814
69,0.0,1000.0,-59.956876,52.382457
70,0.0,0.0,58.506461,219.268767
71,0.0,0.0,58.506461,219.268767
72,-0.0,1000.0,-149.033537,72.146503
73,0.0,1000.0,-127.747464,-13.154046
74,0.0,0.0,-179.099526,-24.240658
75,-0.0,0.0,-63.342721,135.481855
76,0.0,0.0,-124.938133,138.648301
77,-1000.0,1000.0,-69.65859,94.150252
78,7.443247,563.000416,-99.342792,-0.0001
79,7.443247,563.000416,-90.760078,-0.0001
80,0.0,0.0,-102.954639,66.732103
81,-1000.0,1000.0,-127.26663,74.271716
82,-1000.0,1000.0,-127.266648,74.271723
83,-1000.0,1000.0,-127.266721,74.271811
84,-624.730558,743.668407,-72.036414,126.46526
85,3.3e-05,439.275611,-72.491131,-0.0001
86,-1000.0,1000.0,-127.266687,74.271731
87,0.0,277.778585,-127.266668,74.27177
88,-500.0,1000.0,-127.26674,74.271803
89,0.0,0.0,-211.125598,87.355862
90,-743.999253,1000.0,-189.364536,83.348575
91,0.0,1000.0,-207.190123,-77.084374
92,-1000.0,1000.0,-149.005933,137.378392
94,0.0,0.0,-149.005933,137.378392
95,-997.864821,1000.0,-83.647629,114.676122
96,-148.229536,0.0,-124.248911,25.371275
97,-1000.0,1000.0,-56.827849,55.478631
98,-997.864821,1000.0,-104.163034,99.022206
99,0.0,1000.0,-272.867377,-98.72417
100,-500.0,1000.0,-194.797261,26.063161
101,0.0,278.803604,-194.7973,26.06317
102,-1000.0,1000.0,-194.79726,26.06313
103,-1000.0,1000.0,-194.797244,26.063114
104,-1000.0,1000.0,-194.797286,26.063156
105,-1000.0,1000.0,-194.797242,26.063128
106,0.0,1000.0,-106.491822,99.564978
107,-957.452427,1000.0,-107.315502,97.972135
108,0.0,1000.0,-106.491716,99.564863
109,0.0,1000.0,-109.086035,99.992927
110,0.0,1000.0,-106.491742,99.564893
111,0.0,1000.0,-106.491829,99.565049
112,-1000.0,1000.0,-107.315562,97.972141
113,0.0,1000.0,-103.576292,99.564919
114,0.0,1000.0,-109.086039,99.992886
115,0.0,1000.0,-106.491748,99.564909
116,0.0,0.0,-inf,inf
117,-1000.0,1000.0,-101.00458,55.560606
118,-1000.0,1000.0,-24.526982,79.174444
119,-1000.0,1000.0,-101.000099,55.565101
120,-1000.0,1000.0,-154.038135,46.899038
121,-1000.0,1000.0,-101.002573,53.884299
122,-998.615105,1000.0,-82.359943,76.524214
123,0.0,1000.0,-101.350253,78.782039
124,0.0,0.0,-99.512017,129.883033
125,0.0,1000.0,-106.300091,53.141175
126,-1000.0,1000.0,-98.103742,95.356469
127,-1000.0,1000.0,-97.304591,96.15562
129,1.125338,286.034604,-85.04875,-0.0001
130,-1000.0,1000.0,-94.061665,58.977072
131,-1000.0,1000.0,-229.311467,72.504408
132,1.310465,1000.0,-109.794743,-0.0001
133,0.0,0.0,-146.305301,-24.411975
134,-1000.0,1000.0,-115.474952,84.566407
135,3.821381,27.924575,-inf,inf
136,0.0,321.638361,-113.616724,91.746548
137,-1000.0,1000.0,-111.750497,92.477538
138,0.0,1000.0,-112.421428,91.037759
139,0.0,1000.0,-113.686289,91.598734
140,0.0,254.630369,-113.42608,94.532853
141,-1000.0,1000.0,-120.088781,83.507866
142,-1000.0,1000.0,-90.468573,65.538243
143,-1000.0,1000.0,-81.796574,127.306539
144,-1000.0,1000.0,-89.574654,125.499351
145,-1000.0,1000.0,-87.863362,132.717109
146,-1000.0,1000.0,-89.574556,77.633561
147,-1000.0,1000.0,-86.4239,127.830217
148,-1000.0,1000.0,-84.712607,135.047976
149,-1000.0,1000.0,-86.423827,79.964451
150,0.0,998.14163,-232.741127,-18.624055
151,0.0,1000.0,-187.593626,-25.234028
152,0.0,1000.0,-267.076329,-43.609263
153,0.0,1000.0,-262.862038,-43.609372
154,0.0,0.0,-267.843561,-34.507576
155,0.0,0.0,-188.363271,-16.134844
156,0.0,0.0,-263.629225,-34.50773
157,-1000.0,1000.0,-83.411191,117.748291
158,-1000.0,1000.0,-81.699899,132.06095
159,-1000.0,1000.0,-83.411149,76.977457
160,0.0,1000.0,-90.087791,125.897415
161,-1000.0,1000.0,-88.376499,133.115173
162,-1000.0,1000.0,-90.087706,78.031637
163,0.0,0.0,-233.890111,45.397058
164,-1000.0,1000.0,-84.870616,129.389077
165,-1000.0,1000.0,-83.159323,136.606836
166,0.0,112.449774,-380.64281,-125.010311
167,-339.854194,0.0,-116.453603,45.681082
168,-325.924959,0.0,-128.723751,4.225162
169,-1000.0,1000.0,-159.157109,134.214533
170,0.0,0.0,-77.533807,132.05871
171,-1000.0,1000.0,-129.571842,24.175511
172,-1000.0,1000.0,-129.572154,24.175198
173,-998.499411,1000.0,-153.070766,53.391955
174,-250.790984,0.0,-127.674324,24.241987
175,0.0,0.0,-126.505074,26.313033
176,-1000.0,1000.0,-269.190951,1.492962
177,0.0,0.0,-261.341695,-36.314292
178,0.49056,1000.0,-140.987025,-0.0001
179,0.49056,286.971216,-413.053348,-132.947292
180,0.0,1000.0,-231.732526,-69.064495
181,-601.898362,0.0,-91.673379,65.53351
182,-415.288506,996.686018,-152.731564,14.164598
183,-413.153327,998.821196,-88.504119,42.453888
184,-413.153327,998.821196,-189.300916,110.426974
185,2.135179,15.602725,-inf,inf
186,0.0,0.0,-inf,inf
187,-997.8959,1000.0,-281.727082,59.226168
188,2.1041,15.375615,-inf,inf
189,0.0,0.0,-inf,inf
190,1.178804,494.806124,-119.516914,-0.0001
191,-999.1044,1000.0,-83.824736,114.498996
192,-1000.0,1000.0,-93.997256,101.275677
193,-1000.0,1000.0,-101.274503,93.998499
194,-1000.0,1000.0,-93.997873,101.275061
195,-999.1044,1000.0,-120.201012,86.040024
196,2.641387,19.301819,-inf,inf
198,0.0,1000.0,-52.532928,110.374256
200,0.0,0.0,-52.533652,148.232315
201,0.918344,367.691819,-164.21702,-0.0001
202,-1000.0,1000.0,-inf,inf
203,-1000.0,1000.0,-inf,inf
204,0.0,0.0,-152.860629,51.225355
205,0.0,0.0,-inf,inf
206,0.0,0.0,-57.203009,164.935993
207,0.0,71.506254,-133.43452,65.57225
